collection,publication,year,issue_or_edition,filename,source_url,notes
long-trail-news,Long Trail News,1935,December 1935,1935_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1935_12_Dec.pdf,
long-trail-news,Long Trail News,1936,February 1936,1936_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1936_02_Feb.pdf,
long-trail-news,Long Trail News,1936,April 1936,1936_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1936_04_Apr.pdf,
long-trail-news,Long Trail News,1936,July 1936,1936_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1936_07_July.pdf,
long-trail-news,Long Trail News,1936,October 1936,1936_10_Oct.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1936_10_Oct.pdf,
long-trail-news,Long Trail News,1936,December 1936,1936_12_Dec.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1936_12_Dec.pdf,
long-trail-news,Long Trail News,1937,February 1937,1937_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1937_02_Feb.pdf,
long-trail-news,Long Trail News,1937,April 1937,1937_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1937_04_Apr.pdf,
long-trail-news,Long Trail News,1937,July 1937,1937_07_July.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1937_07_July.pdf,
long-trail-news,Long Trail News,1937,September 1937,1937_09_Sept.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1937_09_Sept.pdf,
long-trail-news,Long Trail News,1937,November 1937,1937_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1937_11_Nov.pdf,
long-trail-news,Long Trail News,1938,February 1938,1938_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1938_02_Feb.pdf,
long-trail-news,Long Trail News,1938,April 1938,1938_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1938_04_Apr.pdf,
long-trail-news,Long Trail News,1938,June 1938,1938_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1938_06_June.pdf,
long-trail-news,Long Trail News,1938,September 1938,1938_09_Sept.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1938_09_Sept.pdf,
long-trail-news,Long Trail News,1938,November 1938,1938_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1938_11_Nov.pdf,
long-trail-news,Long Trail News,1939,January 1939,1939_01_Jan.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1939_01_Jan.pdf,
long-trail-news,Long Trail News,1939,March 1939,1939_03_Mar.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1939_03_Mar.pdf,
long-trail-news,Long Trail News,1939,May 1939,1939_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1939_05_May.pdf,
long-trail-news,Long Trail News,1939,June 1939,1939_06_June.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1939_06_June.pdf,
long-trail-news,Long Trail News,1939,October 1939,1939_10_Oct.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1939_10_Oct.pdf,
long-trail-news,Long Trail News,1940,March 1940,1940_03_Mar.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1940_03_Mar.pdf,
long-trail-news,Long Trail News,1940,May 1940,1940_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1940_05_May.pdf,
long-trail-news,Long Trail News,1940,November 1940,1940_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1940_11_Nov.pdf,
long-trail-news,Long Trail News,1941,February 1941,1941_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1941_02_Feb.pdf,
long-trail-news,Long Trail News,1941,May 1941,1941_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1941_05_May.pdf,
long-trail-news,Long Trail News,1941,August 1941,1941_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1941_08_Aug.pdf,
long-trail-news,Long Trail News,1941,November 1941,1941_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1941_11_Nov.pdf,
long-trail-news,Long Trail News,1942,February 1942,1942_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1942_02_Feb.pdf,
long-trail-news,Long Trail News,1942,May 1942,1942_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1942_05_May.pdf,
long-trail-news,Long Trail News,1942,August 1942,1942_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1942_08_Aug.pdf,
long-trail-news,Long Trail News,1942,November 1942,1942_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1942_11_Nov.pdf,
long-trail-news,Long Trail News,1943,February 1943,1943_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1943_02_Feb.pdf,
long-trail-news,Long Trail News,1943,May 1943,1943_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1943_05_May.pdf,
long-trail-news,Long Trail News,1944,April 1944,1944_04_Apr.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1944_04_Apr.pdf,
long-trail-news,Long Trail News,1944,August 1944,1944_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1944_08_Aug.pdf,
long-trail-news,Long Trail News,1944,November 1944,1944_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1944_11_Nov.pdf,
long-trail-news,Long Trail News,1945,February 1945,1945_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1945_02_Feb.pdf,
long-trail-news,Long Trail News,1945,May 1945,1945_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1945_05_May.pdf,
long-trail-news,Long Trail News,1945,August 1945,1945_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1945_08_Aug.pdf,
long-trail-news,Long Trail News,1945,November 1945,1945_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1945_11_Nov.pdf,
long-trail-news,Long Trail News,1946,February 1946,1946_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1946_02_Feb.pdf,
long-trail-news,Long Trail News,1946,May 1946,1946_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1946_05_May.pdf,
long-trail-news,Long Trail News,1946,August 1946,1946_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1946_08_Aug.pdf,
long-trail-news,Long Trail News,1946,November 1946,1946_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1946_11_Nov.pdf,
long-trail-news,Long Trail News,1947,February 1947,1947_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1947_02_Feb.pdf,
long-trail-news,Long Trail News,1947,May 1947,1947_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1947_05_May.pdf,
long-trail-news,Long Trail News,1947,August 1947,1947_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1947_08_Aug.pdf,
long-trail-news,Long Trail News,1947,November 1947,1947_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1947_11_Nov.pdf,
long-trail-news,Long Trail News,1948,February 1948,1948_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1948_02_Feb.pdf,
long-trail-news,Long Trail News,1948,May 1948,1948_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1948_05_May.pdf,
long-trail-news,Long Trail News,1948,August 1948,1948_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1948_08_Aug.pdf,
long-trail-news,Long Trail News,1948,November 1948,1948_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1948_11_Nov.pdf,
long-trail-news,Long Trail News,1949,February 1949,1949_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1949_02_Feb.pdf,
long-trail-news,Long Trail News,1949,May 1949,1949_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1949_05_May.pdf,
long-trail-news,Long Trail News,1949,August 1949,1949_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1949_08_Aug.pdf,
long-trail-news,Long Trail News,1949,November 1949,1949_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1949_11_Nov.pdf,
long-trail-news,Long Trail News,1950,February 1950,1950_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1950_02_Feb.pdf,
long-trail-news,Long Trail News,1950,May 1950,1950_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1950_05_May.pdf,
long-trail-news,Long Trail News,1950,August 1950,1950_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1950_08_Aug.pdf,
long-trail-news,Long Trail News,1950,November 1950,1950_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1950_11_Nov.pdf,
long-trail-news,Long Trail News,1951,February 1951,1951_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1951_02_Feb.pdf,
long-trail-news,Long Trail News,1951,May 1951,1951_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1951_05_May.pdf,
long-trail-news,Long Trail News,1951,August 1951,1951_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1951_08_Aug.pdf,
long-trail-news,Long Trail News,1951,November 1951,1951_11_Nov.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1951_11_Nov.pdf,
long-trail-news,Long Trail News,1952,February 1952,1952_02_Feb.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1952_02_Feb.pdf,
long-trail-news,Long Trail News,1952,May 1952,1952_05_May.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1952_05_May.pdf,
long-trail-news,Long Trail News,1952,August 1952,1952_08_Aug.pdf,https://gmcmontpelier.org/Archive_Publications/LTN_Archives/LTN_YYYY_NN/1952_08_Aug.pdf,
